catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN1-29-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"long crested jay","Cyanocitta stelleri","'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-29-C,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Clark Crows","Nucifraga columbiana","'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-29-D,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Rocky Mt. jays","Perisoreus canadensis","'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-29-E,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickadees,Poecile,"'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-29-F,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,juncos,Junco,"'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-29-G,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Mt. Bluebirds","Sialia currucoides","'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-29-H,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/29?oldid=3614537",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,flicker,Colaptes,"'''Aug. 29, 1905'''","Junius Henderson",1905-08-29,,,,,"United States of America",US,Colorado,,,"Island lake","Island Lake, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-32-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/32?oldid=3581958",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"mountain sheep","mountain sheep","Aug. 30 â05","Junius Henderson",1905-08-30,,,,,"United States of America",US,Colorado,,,glacier,"Arapaho Glacier",,,,,,,,,,,,,,,,,,
JHFN1-33-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Clarkâs Crow","Nucifraga columbiana","Aug. 30 â05","Junius Henderson",1905-08-30,,,,,"United States of America",US,Colorado,,,"The Saddle","The Saddle, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-33-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Rocky Mt jay","Cyanocitta stelleri","Aug. 30 â05","Junius Henderson",1905-08-30,,,,,"United States of America",US,Colorado,,,"The Saddle","The Saddle, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-33-C,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickadees,chickadee,"Aug. 30 â05","Junius Henderson",1905-08-30,,,,,"United States of America",US,Colorado,,,"The Saddle","The Saddle, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-33-D,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,juncos,junco,"Aug. 30 â05","Junius Henderson",1905-08-30,,,,,"United States of America",US,Colorado,,,"The Saddle","The Saddle, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-33-E,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/33?oldid=3614539",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pipits,Anthus,"Aug. 30 â05","Junius Henderson",1905-08-30,,,,,"United States of America",US,Colorado,,,"High Fall","High Fall, Colorado",,,,,,,,,,,,,,,,,,
