EntryNo,Date,Place,URI,Entry
19,1905-09-04,"Island Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/40?oldid=3614545",entry
20,1905-09-05,"Island Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/41?oldid=3614546",entry
21,1905-09-06,"Island Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/43?oldid=3614547",entry
21,1905-09-06,"Bluebird Road","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/43?oldid=3614547",entry
21,1905-09-06,"North Boulder Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/43?oldid=3614547",entry
21,1905-09-06,"Silver Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/43?oldid=3614547",entry
21,1905-09-06,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/43?oldid=3614547",entry
21,1906-06-02,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/44?oldid=3581817",entry
22,1906-06-06,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/47?oldid=3614549",entry
22,1906-06-06,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/47?oldid=3614549",entry
23,1906-06-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/47?oldid=3614549",entry
23,1906-06-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/47?oldid=3614549",entry
23,1906-06-07,"St. Vrain Creek","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/48?oldid=3614550",entry
23,1906-06-07,"St. Vrain Creek","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/48?oldid=3614550",entry
24,1906-06-08,"St. Vrain Creek","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/48?oldid=3614550",entry
24,1906-06-08,"St. Vrain Creek","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/49?oldid=3581336",entry
